Songs,Mood,Energy,Beats
"Banjaara",Sad,Medium,Mid-tempo
"Naina",Sad,Medium,Mid-tempo
"Mere Bina",Sad,Medium,Mid-tempo
"Tum Jo Aaye",Happy,Medium,Mid-tempo
"Ae Dil Hai Mushkil",Sad,Medium,Mid-tempo
"Pee Loon",Happy,Medium,Mid-tempo
"Bohemian Rhapsody",Happy,High,Fast
"Smells Like Teen Spirit",Happy,High,Fast
"Sweet Child o' Mine",Happy,High,Fast
"Livin' on a Prayer",Happy,High,Fast
"Highway to Hell",Happy,High,Fast
"Enter Sandman",Happy,High,Fast
"Back in Black",Happy,High,Fast
"We Will Rock You",Happy,High,Fast
"You Shook Me All Night Long",Happy,High,Fast
"Stairway to Heaven",Happy,High,Fast
"Hotel California",Happy,High,Fast
"Paranoid",Happy,High,Fast
"Thunderstruck",Happy,High,Fast
"Paint It Black",Happy,High,Fast
"The Final Countdown",Happy,High,Fast
"Run to the Hills",Happy,High,Fast
"Smokin' in the Boys Room",Happy,High,Fast
"Don't Stop Believin'",Happy,High,Fast
"Welcome to the Jungle",Happy,High,Fast
"Crazy Train",Happy,High,Fast
"Another One Bites the Dust",Happy,High,Fast
"Eye of the Tiger",Happy,High,Fast
"Seven Nation Army",Happy,High,Fast
"Walk This Way",Happy,High,Fast
"The Trooper",Happy,High,Fast
"I Love Rock 'n Roll",Happy,High,Fast
"Smoke on the Water",Happy,High,Fast
"We're Not Gonna Take It",Happy,High,Fast
"Rock and Roll All Nite",Happy,High,Fast
"Born to Be Wild",Happy,High,Fast
"Sweet Home Alabama",Happy,High,Fast
"Love Story",Happy,High,Fast
"Shake It Off",Happy,High,Fast
"Blank Space",Happy,High,Fast
"You Belong with Me",Happy,High,Fast
"We Are Never Ever Getting Back Together",Happy,High,Fast
"I Knew You Were Trouble",Happy,High,Fast
"ME!",Happy,High,Fast
"Bad Blood",Happy,High,Fast
"22",Happy,High,Fast
"Style",Happy,High,Fast
"Delicate",Happy,High,Fast
"Wildest Dreams",Happy,High,Fast
"New Romantics",Happy,High,Fast
"The Man",Happy,High,Fast
"Fearless",Happy,High,Fast
"Red",Happy,High,Fast
"Out of the Woods",Happy,High,Fast
"Enchanted",Happy,High,Fast
"Long Live",Happy,High,Fast
"Speak Now",Happy,High,Fast
"All Too Well",Happy,High,Fast
"Dear John",Sad,High,Slow
"Back to December",Sad,High,Slow
"Last Kiss",Sad,High,Slow
"The Moment I Knew",Sad,High,Slow
"Sad Beautiful Tragic",Sad,High,Slow
"White Horse",Sad,High,Slow
"Breathe",Sad,High,Slow
"Never Grow Up",Sad,High,Slow
"Ronan",Sad,High,Slow
"Clean",Sad,High,Slow
"This Love",Sad,High,Slow
"The Archer",Sad,High,Slow
"The Best Day",Happy,High,Slow
"All You Had to Do Was Stay",Happy,High,Slow
"New Year's Day",Happy,High,Slow
"You're Not Sorry",Sad,High,Slow
"Cold as You",Sad,High,Slow
"Forever & Always",Sad,High,Slow
"My Tears Ricochet",Sad,High,Slow
"Mirrorball",Happy,High,Slow
"Safe & Sound",Sad,High,Slow
"Exile",Sad,High,Slow
"Invisible String",Happy,High,Slow
"Tum Hi Ho",Sad,Medium,Slow
"Channa Mereya",Sad,Medium,Slow
"Agar Tum Saath Ho",Sad,Medium,Slow
"Raabta",Sad,Medium,Mid-tempo
"Zaalima",Sad,Medium,Mid-tempo
"Tera Fitoor",Sad,Medium,Mid-tempo
"Phir Kabhi",Sad,Medium,Mid-tempo
"Tujhe Kitna Chahne Lage",Sad,Medium,Mid-tempo
"Tum Se Hi",Sad,Medium,Mid-tempo
"Agar Tum Saath Ho",Sad,Medium,Slow
"Kabira",Sad,Medium,Mid-tempo
"Laal Ishq",Sad,Medium,Slow
"Muskurane Ki Wajah",Happy,Medium,Slow
"Gerua",Happy,Medium,Slow
"Khamoshiyan",Sad,Medium,Slow
"Ae Dil Hai Mushkil",Sad,Medium,Slow
"Samjhawan",Sad,Medium,Slow
"Raabta",Sad,Medium,Mid-tempo
"Tum Jo Aaye",Happy,Medium,Mid-tempo
"Raabta",Sad,Medium,Mid-tempo
"Bohemian Rhapsody",Happy,High,Fast
"Don't Stop Me Now",Happy,High,Fast
"Somebody to Love",Happy,High,Fast
"We Will Rock You",Happy,High,Fast
"We Are the Champions",Happy,High,Fast
"Radio Ga Ga",Happy,High,Fast
"Under Pressure",Happy,High,Fast
"I Want to Break Free",Happy,High,Fast
"Another One Bites the Dust",Happy,High,Fast
"Crazy Little Thing Called Love",Happy,High,Fast
"Killer Queen",Happy,High,Fast
"Fat Bottomed Girls",Happy,High,Fast
"Bicycle Race",Happy,High,Fast
"Bohemian Rhapsody",Happy,High,Fast
"The Show Must Go On",Happy,High,Fast
"I Want It All",Happy,High,Fast
"A Kind of Magic",Happy,High,Fast
"Tie Your Mother Down",Happy,High,Fast
"You're My Best Friend",Happy,High,Fast
"Hammer to Fall",Happy,High,Fast
"Keep Yourself Alive",Happy,High,Fast
"Now I'm Here",Happy,High,Fast
"One Vision",Happy,High,Fast
"Good Old-Fashioned Lover Boy",Happy,High,Fast
"Play the Game",Happy,High,Fast
"It's a Hard Life",Happy,High,Fast
"Seven Seas of Rhye",Happy,High,Fast
"Innuendo",Happy,High,Fast
"One Year of Love",Happy,High,Fast
"Friends Will Be Friends",Happy,High,Fast
"Don't Stop Me Now",Happy,High,Fast
"Stone Cold Crazy",Happy,High,Fast
"Lazing on a Sunday Afternoon",Happy,High,Fast
"Love of My Life",Happy,High,Fast
"I'm Going Slightly Mad",Happy,High,Fast
"The Miracle",Happy,High,Fast
"You Don't Fool Me",Happy,High,Fast
"Thank God It's Christmas",Happy,High,Fast
"Body Language",Happy,High,Fast
"Save Me",Happy,High,Fast
"Headlong",Happy,High,Fast
"Tutti Frutti",Happy,High,Fast
"Let Me Live",Happy,High,Fast
"Princes of the Universe",Happy,High,Fast
"Mother Love",Happy,High,Fast
"Flash",Happy,High,Fast
"Baby",Happy,High,Fast
"Sorry",Happy,High,Fast
"Love Yourself",Happy,Medium,Mid-tempo
"What Do You Mean?",Happy,High,Fast
"Boyfriend",Happy,High,Fast
"Intentions",Happy,High,Fast
"Yummy",Happy,High,Fast
"As Long as You Love Me",Happy,High,Fast
"Beauty and a Beat",Happy,High,Fast
"Company",Happy,High,Fast
"Never Say Never",Happy,High,Fast
"One Time",Happy,High,Fast
"Where Are Ü Now",Happy,High,Fast
"Cold Water",Happy,High,Fast
"I Don't Care",Happy,High,Fast
"Hold On",Happy,High,Fast
"What Do You Mean?",Happy,High,Fast
"Lonely",Sad,High,Slow
"Changes",Sad,High,Slow
"Purpose",Happy,High,Fast
"I'll Show You",Sad,High,Slow
"Mark My Words",Sad,High,Slow
"Life Is Worth Living",Sad,High,Slow
"Purpose",Happy,High,Fast
"Recovery",Sad,High,Slow
"All That Matters",Sad,High,Slow
"Where Are You Now?",Sad,High,Slow
"Love Me",Happy,High,Fast
"PYD",Happy,High,Fast
"Confident",Happy,High,Fast
"Eenie Meenie",Happy,High,Fast
"Heartbreaker",Sad,High,Slow
"Die in Your Arms",Happy,High,Fast
"Beauty and a Beat",Happy,High,Fast
"All Around the World",Happy,High,Fast
"Right Here",Happy,High,Fast
"Yellow Raincoat",Sad,High,Slow
"Hold Tight",Sad,High,Slow
"Backpack",Sad,High,Slow
"One Life",Sad,High,Slow
"Change Me",Sad,High,Slow
"Confident",Happy,High,Fast
"One Love",Happy,High,Fast
"Memphis",Happy,High,Fast
"Thought of You",Happy,High,Fast
"Heartbreaker",Sad,High,Slow
"Tum Hi Ho",Happy,High,Fast
"Channa Mereya",Sad,Medium,Slow
"Agar Tum Saath Ho",Sad,Medium,Slow
"Gerua",Happy,Medium,Slow
"Ae Dil Hai Mushkil",Sad,Medium,Slow
"Raabta",Sad,Medium,Mid-tempo
"Zaalima",Sad,Medium,Mid-tempo
"Tera Fitoor",Sad,Medium,Mid-tempo
"Phir Kabhi",Sad,Medium,Mid-tempo
"Tujhe Kitna Chahne Lage",Sad,Medium,Mid-tempo
"Laal Ishq",Sad,Medium,Slow
"Muskurane Ki Wajah",Happy,Medium,Slow
"Kabira",Sad,Medium,Mid-tempo
"Bulleya",Happy,High,Fast
"Breakup Song",Happy,High,Fast
"Nashe Si Chadh Gayi",Happy,High,Fast
"Ae Dil Hai Mushkil",Sad,Medium,Slow
"Subhanallah",Happy,High,Fast
"Afreen Afreen",Happy,Medium,Slow
"Balam Pichkari",Happy,High,Fast
"Ilahi",Happy,Medium,Mid-tempo
"Kabira",Sad,Medium,Mid-tempo
"Badtameez Dil",Happy,High,Fast
"Phir Le Aya Dil",Sad,Medium,Slow
"Tu Jaane Na",Sad,Medium,Slow
"Itni Si Baat Hai",Happy,Medium,Mid-tempo
"Raabta",Sad,Medium,Mid-tempo
"Agar Tum Saath Ho",Sad,Medium,Slow
"Tum Se Hi",Sad,Medium,Mid-tempo
"Sooraj Dooba Hai",Happy,High,Fast
"Pritam Theme",Happy,High,Fast
"Bheegi Si Bhaagi Si",Happy,Medium,Mid-tempo
"Dhoom Machale",Happy,High,Fast
"Phir Le Aya Dil",Sad,Medium,Slow
"Main Rang Sharbaton Ka",Happy,Medium,Mid-tempo
"Dil Diyan Gallan",Sad,Medium,Slow
"Iktara",Sad,Medium,Slow
"Channa Mereya",Sad,Medium,Slow
"Bhula Dena",Sad,Medium,Slow
"Raabta",Sad,Medium,Mid-tempo
"Raabta",Sad,Medium,Mid-tempo
"Bairaagi",Sad,Medium,Slow
"Yaariyan",Happy,Medium,Mid-tempo
"Mujhko Barsaat Bana Lo",Sad,Medium,Slow
"Phir Kabhi",Sad,Medium,Mid-tempo
"Pee Loon",Happy,Medium,Mid-tempo
"Sugar, We're Goin Down",Happy,High,Fast
"Thnks fr th Mmrs",Happy,High,Fast
"Dance, Dance",Happy,High,Fast
"Centuries",Happy,High,Fast
"My Songs Know What You Did in the Dark (Light Em Up)",Happy,High,Fast
"I Don't Care",Happy,High,Fast
"This Ain't a Scene, It's an Arms Race",Happy,High,Fast
"Immortals",Happy,High,Fast
"Uma Thurman",Happy,High,Fast
"The Phoenix",Happy,High,Fast
"Irresistible",Happy,High,Fast
"Young Volcanoes",Happy,High,Fast
"Alone Together",Happy,High,Fast
"I'm Like a Lawyer with the Way I'm Always Trying to Get You Off (Me & You)",Happy,High,Fast
"America's Suitehearts",Happy,High,Fast
"Beat It",Happy,High,Fast
"Save Rock and Roll",Happy,High,Fast
"Grand Theft Autumn/Where Is Your Boy",Happy,High,Fast
"The Take Over, the Breaks Over",Happy,High,Fast
"Saturday",Happy,High,Fast
"Novocaine",Happy,High,Fast
"Champion",Happy,High,Fast
"Just One Yesterday",Happy,High,Fast
"I Slept with Someone in Fall Out Boy and All I Got Was This Stupid Song Written About Me",Happy,High,Fast
"Grenade Jumper",Happy,High,Fast
"Thriller",Happy,High,Fast
"Wilson (Expensive Mistakes)",Happy,High,Fast
"Where Did the Party Go",Happy,High,Fast
"Hold Me Tight or Don't",Happy,High,Fast
"The Last of the Real Ones",Happy,High,Fast
"Stay Frosty Royal Milk Tea",Happy,High,Fast
"The Carpal Tunnel of Love",Happy,High,Fast
"Disloyal Order of Water Buffaloes",Happy,High,Fast
"Hum Hallelujah",Happy,High,Fast
"A Little Less Sixteen Candles, a Little More ""Touch Me""",Happy,High,Fast
"I Don't Care",Happy,High,Fast
"America's Suitehearts",Happy,High,Fast
"7 Minutes in Heaven (Atavan Halen)",Happy,High,Fast
"Bang the Doldrums",Happy,High,Fast
"Golden",Happy,High,Fast
"Chicago Is So Two Years Ago",Happy,High,Fast
"The (Shipped) Gold Standard",Happy,High,Fast
"Lake Effect Kid",Happy,High,Fast
"Sugar, We're Goin Down",Happy,High,Fast
"Champion",Happy,High,Fast
"Smells Like Teen Spirit",Happy,High,Fast
"Come as You Are",Happy,Medium,Mid-tempo
"Lithium",Happy,Medium,Mid-tempo
"In Bloom",Happy,High,Fast
"Heart-Shaped Box",Happy,High,Fast
"All Apologies",Sad,Medium,Slow
"The Man Who Sold the World",Sad,Medium,Slow
"About a Girl",Happy,Medium,Mid-tempo
"Where Did You Sleep Last Night",Sad,Medium,Slow
"Rape Me",Sad,High,Fast
"Dumb",Sad,Medium,Slow
"Polly",Sad,Medium,Slow
"Territorial Pissings",Happy,High,Fast
"Breed",Happy,High,Fast
"Something in the Way",Sad,Medium,Slow
"Stay Away",Happy,High,Fast
"On a Plain",Happy,Medium,Mid-tempo
"Jesus Doesn't Want Me for a Sunbeam",Sad,Medium,Slow
"Serve the Servants",Sad,High,Fast
"You Know You're Right",Sad,High,Fast
"Negative Creep",Happy,High,Fast
"Lounge Act",Happy,Medium,Mid-tempo
"School",Happy,High,Fast
"Been a Son",Happy,Medium,Mid-tempo
"Sappy",Sad,Medium,Slow
"Aneurysm",Happy,High,Fast
"Sliver",Happy,High,Fast
"Milk It",Sad,High,Fast
"Blew",Happy,High,Fast
"Floyd the Barber",Happy,High,Fast
"Paper Cuts",Sad,High,Fast
"Frances Farmer Will Have Her Revenge on Seattle",Sad,High,Fast
"Radio Friendly Unit Shifter",Happy,High,Fast
"Scentless Apprentice",Happy,High,Fast
"Very Ape",Happy,High,Fast
"Curmudgeon",Happy,High,Fast
"Beeswax",Happy,High,Fast
"Big Long Now",Sad,Medium,Slow
"Token Eastern Song",Happy,High,Fast
"Oh, the Guilt",Sad,High,Fast
"Swap Meet",Happy,High,Fast
"Sifting",Happy,High,Fast
"Mr. Moustache",Happy,High,Fast
"Moist Vagina",Happy,High,Fast
"Love Buzz",Happy,High,Fast
"Blandest",Sad,Medium,Slow
"Teri Meri",Happy,Medium,Mid-tempo
"Agar Tum Mil Jao",Sad,Medium,Slow
"Deewani Mastani",Happy,High,Fast
"Barso Re",Happy,High,Fast
"Sunn Raha Hai",Sad,High,Slow
"Manwa Laage",Happy,High,Fast
"Saans",Happy,Medium,Mid-tempo
"Tere Bina",Sad,Medium,Slow
"Radha",Happy,High,Fast
"Chikni Chameli",Happy,High,Fast
"Yeh Ishq Hai",Happy,High,Fast
"Mere Dholna",Happy,Medium,Mid-tempo
"Nagada Sang Dhol",Happy,High,Fast
"Bairi Piya",Sad,Medium,Slow
"Pal Pal Har Pal",Happy,Medium,Mid-tempo
"Silsila Ye Chahat Ka",Sad,Medium,Slow
"Jadu Hai Nasha Hai",Happy,Medium,Mid-tempo
"Mere Haath Mein",Happy,Medium,Mid-tempo
"Pinga",Happy,High,Fast
"Zoobi Doobi",Happy,High,Fast
"Dola Re Dola",Happy,High,Fast
"Sunn Raha Hai (Female)",Sad,High,Slow
"Piya O Re Piya",Happy,Medium,Mid-tempo
"Piyu Bole",Happy,Medium,Mid-tempo
"Jaadu Teri Nazar",Happy,Medium,Mid-tempo
"Tere Liye",Sad,Medium,Mid-tempo
"Bade Achhe Lagte Hain",Sad,Medium,Mid-tempo
"Saathiya",Happy,Medium,Mid-tempo
"Bekaraan",Sad,Medium,Mid-tempo
"Main Agar Kahoon",Happy,Medium,Mid-tempo
"Piyu Bole",Happy,Medium,Mid-tempo
"Ooh La La",Happy,High,Fast
"Ooh La La",Happy,High,Fast
"Dola Re Dola",Happy,High,Fast
"Saibo",Happy,Medium,Mid-tempo
"Deewani Mastani",Happy,High,Fast
"Tera Ban Jaunga",Happy,Medium,Mid-tempo
"Jeene Laga Hoon",Happy,Medium,Mid-tempo
"Sunn Raha Hai (Female)",Sad,High,Slow
"Manwa Laage",Happy,High,Fast
"Nagada Sang Dhol",Happy,High,Fast
"Mere Dholna",Happy,Medium,Mid-tempo
"Pal Pal Har Pal",Happy,Medium,Mid-tempo
"Silsila Ye Chahat Ka",Sad,Medium,Slow
"Saans",Happy,Medium,Mid-tempo
"Radha",Happy,High,Fast
"Tum Bin",Sad,Medium,Slow
"Aashiyan",Happy,Medium,Mid-tempo
"Badtameez Dil",Happy,High,Fast
"Pappu Can't Dance Saala",Happy,High,Fast
"Kaise Mujhe/Tum Ho",Happy,Medium,Mid-tempo
"Lat Lag Gayee",Happy,High,Fast
"Bang Bang",Happy,High,Fast
"Locha-E-Ulfat",Happy,High,Fast
"Locha-E-Ulfat (Unplugged)",Happy,Medium,Mid-tempo
"Ude Dil Befikre",Happy,High,Fast
"The Disco Song",Happy,High,Fast
"Sau Tarah Ke",Happy,High,Fast
"Let's Nacho",Happy,High,Fast
"Badri Ki Dulhania",Happy,High,Fast
"Daaru Desi",Happy,High,Fast
"Sau Aasmaan",Happy,High,Fast
"Bhag DK Bose",Happy,High,Fast
"Bang Bang Title Track",Happy,High,Fast
"Naina Da Kya Kasoor",Happy,Medium,Mid-tempo
"Kaise Mujhe",Happy,Medium,Mid-tempo
"The Disco Song (Remix)",Happy,High,Fast
"Dil Mein Mars Hai",Happy,High,Fast
"Yeh Jawaani Hai Deewani",Happy,High,Fast
"Badtameez Dil (Remix)",Happy,High,Fast
"Brothers Anthem",Happy,High,Fast
"Locha-E-Ulfat",Happy,High,Fast
"Gulaabo",Happy,High,Fast
"Tauba Tauba",Happy,High,Fast
"Jai Jai Shiv Shankar",Happy,High,Fast
"Pappu Can't Dance Saala",Happy,High,Fast
"Ude Dil Befikre",Happy,High,Fast
"Ude Dil Befikre (Remix)",Happy,High,Fast
"Aaj Ki Raat",Happy,High,Fast
"Daaru Desi",Happy,High,Fast
"Bang Bang Title Track",Happy,High,Fast
"Brothers Anthem",Happy,High,Fast
"Locha-E-Ulfat",Happy,High,Fast
"Let's Nacho",Happy,High,Fast
"Gulaabo",Happy,High,Fast
"Jai Jai Shiv Shankar",Happy,High,Fast
"Pappu Can't Dance Saala",Happy,High,Fast
"Badtameez Dil",Happy,High,Fast
"Ude Dil Befikre",Happy,High,Fast
"Tauba Tauba",Happy,High,Fast
"Kaise Mujhe",Happy,Medium,Mid-tempo
"Bang Bang Title Track",Happy,High,Fast
"Locha-E-Ulfat",Happy,High,Fast
"Badtameez Dil",Happy,High,Fast
"Pappu Can't Dance Saala",Happy,High,Fast
"Hotline Bling",Happy,Medium,Mid-tempo
"God's Plan",Happy,High,Fast
"In My Feelings",Happy,High,Fast
"One Dance",Happy,High,Fast
"Started from the Bottom",Happy,High,Fast
"Nice for What",Happy,High,Fast
"Hold On, We're Going Home",Happy,Medium,Mid-tempo
"Nonstop",Happy,High,Fast
"Forever",Happy,High,Fast
"Passionfruit",Happy,Medium,Mid-tempo
"Best I Ever Had",Happy,Medium,Mid-tempo
"Worst Behavior",Happy,High,Fast
"Find Your Love",Happy,Medium,Mid-tempo
"Marvins Room",Sad,Low,Slow
"Take Care",Sad,Medium,Mid-tempo
"Money in the Grave",Happy,High,Fast
"Too Good",Happy,Medium,Mid-tempo
"Energy",Happy,High,Fast
"Headlines",Happy,High,Fast
"Started from the Bottom",Happy,High,Fast
"Jumpman",Happy,High,Fast
"Know Yourself",Happy,High,Fast
"Fake Love",Happy,High,Fast
"Controlla",Happy,High,Fast
"Childs Play",Happy,High,Fast
"Too Much",Sad,Medium,Mid-tempo
"All Me",Happy,High,Fast
"0 to 100 / The Catch Up",Happy,High,Fast
"The Motto",Happy,High,Fast
"Back to Back",Happy,High,Fast
"5AM in Toronto",Happy,High,Fast
"Shot for Me",Sad,Medium,Mid-tempo
"Successful",Happy,Medium,Mid-tempo
"HYFR",Happy,High,Fast
"Started from the Bottom",Happy,High,Fast
"6 God",Happy,High,Fast
"Girls Love Beyoncé",Sad,Medium,Mid-tempo
"Emotionless",Sad,Medium,Mid-tempo
"HYFR",Happy,High,Fast
"Look What You've Done",Sad,Medium,Mid-tempo
"Legend",Sad,Low,Slow
"Miss Me",Sad,Medium,Mid-tempo
"Over",Happy,High,Fast
"Make Me Proud",Happy,High,Fast
"Ratchet Happy Birthday",Happy,High,Fast
"Shot for Me",Sad,Medium,Mid-tempo
"Fire & Desire",Sad,Medium,Mid-tempo
"Doing It Wrong",Sad,Medium,Mid-tempo
"Crew Love",Happy,Medium,Mid-tempo
"Best I Ever Had",Happy,Medium,Mid-tempo
"thank u, next",Happy,High,Fast
"7 rings",Happy,High,Fast
"no tears left to cry",Happy,High,Fast
"God is a woman",Happy,High,Fast
"breathin",Happy,Medium,Mid-tempo
"Side to Side",Happy,High,Fast
"positions",Happy,High,Fast
"Dangerous Woman",Happy,High,Fast
"Into You",Happy,High,Fast
"Break Free",Happy,High,Fast
"Problem",Happy,High,Fast
"Break Up with Your Girlfriend, I'm Bored",Happy,High,Fast
"Santa Tell Me",Happy,High,Fast
"The Way",Happy,High,Fast
"Everyday",Happy,High,Fast
"Love Me Harder",Happy,High,Fast
"One Last Time",Happy,High,Fast
"Rain On Me",Happy,High,Fast
"Imagine",Sad,Medium,Mid-tempo
"ghostin",Sad,Medium,Mid-tempo
"thank u, next",Happy,High,Fast
"pov",Sad,Medium,Mid-tempo
"just like magic",Happy,High,Fast
"NASA",Happy,High,Fast
"ghostin",Sad,Medium,Mid-tempo
"needy",Sad,Medium,Mid-tempo
"off the table",Sad,Medium,Mid-tempo
"everytime",Sad,Medium,Mid-tempo
"bloodline",Happy,High,Fast
"fake smile",Happy,Medium,Mid-tempo
"break up with your girlfriend, i'm bored",Happy,High,Fast
"goodnight n go",Happy,Medium,Mid-tempo
"imagine",Sad,Medium,Mid-tempo
"in my head",Happy,Medium,Mid-tempo
"get well soon",Happy,Medium,Mid-tempo
"imagine",Sad,Medium,Mid-tempo
"7 rings",Happy,High,Fast
"thank u, next",Happy,High,Fast
"no tears left to cry",Happy,High,Fast
"breathin",Happy,Medium,Mid-tempo
"God is a woman",Happy,High,Fast
"dangerous woman",Happy,High,Fast
"breathin",Happy,Medium,Mid-tempo
"into you",Happy,High,Fast
"break free",Happy,High,Fast
"positions",Happy,High,Fast
"imagine",Sad,Medium,Mid-tempo
"Blinding Lights",Happy,High,Fast
"Save Your Tears",Happy,High,Fast
"Starboy",Happy,High,Fast
"Can't Feel My Face",Happy,High,Fast
"The Hills",Sad,High,Slow
"Heartless",Sad,High,Fast
"In the Night",Sad,Medium,Mid-tempo
"Pray for Me",Happy,High,Fast
"Earned It",Sad,Medium,Slow
"Call Out My Name",Sad,Medium,Slow
"I Feel It Coming",Happy,Medium,Mid-tempo
"Often",Happy,High,Fast
"Wicked Games",Sad,Medium,Slow
"Acquainted",Sad,Medium,Mid-tempo
"Die for You",Sad,Medium,Mid-tempo
"False Alarm",Sad,High,Fast
"Reminder",Happy,High,Fast
"Tell Your Friends",Happy,High,Fast
"Secrets",Happy,High,Fast
"Party Monster",Happy,High,Fast
"The Morning",Sad,Medium,Mid-tempo
"Starboy",Happy,High,Fast
"Blinding Lights",Happy,High,Fast
"Save Your Tears",Happy,High,Fast
"In Your Eyes",Happy,Medium,Mid-tempo
"Die for You",Sad,Medium,Mid-tempo
"Often",Happy,High,Fast
"Heartless",Sad,High,Fast
"Blinding Lights",Happy,High,Fast
"Starboy",Happy,High,Fast
"Save Your Tears",Happy,High,Fast
"Can't Feel My Face",Happy,High,Fast
"The Hills",Sad,High,Slow
"Earned It",Sad,Medium,Slow
"Blinding Lights",Happy,High,Fast
"Save Your Tears",Happy,High,Fast
"Starboy",Happy,High,Fast
"Can't Feel My Face",Happy,High,Fast
"The Hills",Sad,High,Slow
"Heartless",Sad,High,Fast
"In the Night",Sad,Medium,Mid-tempo
"Pray for Me",Happy,High,Fast
"Earned It",Sad,Medium,Slow
"Call Out My Name",Sad,Medium,Slow
"I Feel It Coming",Happy,Medium,Mid-tempo
"Lag Ja Gale",Happy,Medium,Mid-tempo
"Ae Mere Watan Ke Logo",Sad,Medium,Mid-tempo
"Tere Bina Zindagi Se",Sad,Medium,Slow
"Ajeeb Dastan Hai Yeh",Sad,Medium,Mid-tempo
"Pyar Kiya To Darna Kya",Happy,Medium,Mid-tempo
"Yeh Kahaan Aa Gaye Hum",Happy,Medium,Mid-tempo
"Tere Bina Jiya Jaye Na",Sad,Medium,Slow
"Aap Ki Nazron Ne Samjha",Happy,Medium,Mid-tempo
"Aayega Aanewala",Sad,Medium,Slow
"Jiya Jale",Happy,Medium,Mid-tempo
